CO_POSICAO;SG_AREA;CO_ITEM;TX_GABARITO;CO_HABILIDADE;IN_ITEM_ABAN;TX_MOTIVO_ABAN;NU_PARAM_A;NU_PARAM_B;NU_PARAM_C;TX_COR;CO_PROVA;TP_LINGUA;IN_ITEM_ADAPTADO
6;LC;150678;E;20;0;;3.15898;0.16783;0.17207;AZUL;1395;;0
7;LC;14475;D;1;0;;2.3698;-0.23487;0.12324;AZUL;1353;;0
7;LC;14475;D;1;0;;2.3698;-0.23487;0.12324;AZUL;1441;;0
7;LC;16575;A;16;0;;3.04396;2.33757;0.08577;AMARELA;1354;;0
7;LC;16575;A;16;0;;3.04396;2.33757;0.08577;AMARELA;1442;;0
7;LC;118297;B;17;0;;2.32301;0.39677;0.16215;LARANJA;1401;;1
7;LC;118297;B;17;0;;2.32301;0.39677;0.16215;LARANJA;1402;;1
7;LC;118297;B;17;0;;2.32301;0.39677;0.16215;LEITOR TELA;1406;;1
7;LC;118297;B;17;0;;2.32301;0.39677;0.16215;ROXA;1403;;0
7;LC;118297;B;17;0;;2.32301;0.39677;0.16215;ROXA;1404;;0
7;LC;118297;B;17;0;;2.32301;0.39677;0.16215;ROXA;1405;;0
7;LC;118297;B;17;0;;2.32301;0.39677;0.16215;VERDE;1397;;0
7;LC;118297;B;17;0;;2.32301;0.39677;0.16215;VERDE;1399;;0
7;LC;118297;B;17;0;;2.32301;0.39677;0.16215;VERDE;1400;;0
7;LC;140980;E;18;0;;1.81122;0.89892;0.14279;BRANCA;1356;;0
7;LC;140980;E;18;0;;1.81122;0.89892;0.14279;BRANCA;1444;;0
7;LC;141460;A;2;0;;2.39673;0.03767;0.26467;AMARELA;1396;;0
7;LC;150602;B;2;0;;1.07077;0.04632;0.21574;LARANJA;1319;;1
7;LC;150602;B;2;0;;1.07077;0.04632;0.21574;LARANJA;1320;;1
7;LC;150602;B;2;0;;1.07077;0.04632;0.21574;LARANJA;1359;;1
7;LC;150602;B;2;0;;1.07077;0.04632;0.21574;LARANJA;1360;;1
7;LC;150602;B;2;0;;1.07077;0.04632;0.21574;LEITOR TELA;1322;;1
7;LC;150602;B;2;0;;1.07077;0.04632;0.21574;LEITOR TELA;1362;;1
7;LC;150602;B;2;0;;1.07077;0.04632;0.21574;VERDE;1355;;0
7;LC;150602;B;2;0;;1.07077;0.04632;0.21574;VERDE;1357;;0
7;LC;150602;B;2;0;;1.07077;0.04632;0.21574;VERDE;1358;;0
7;LC;150602;B;2;0;;1.07077;0.04632;0.21574;VERDE;1443;;0
7;LC;150602;B;2;0;;1.07077;0.04632;0.21574;VERDE;1445;;0
7;LC;150602;B;2;0;;1.07077;0.04632;0.21574;VERDE;1446;;0
7;LC;150675;C;3;0;;2.79235;-0.3231;0.16431;AZUL;1395;;0
7;LC;150767;D;15;0;;2.13734;0.72568;0.23628;BRANCA;1398;;0
8;LC;141205;C;9;0;;0.84167;0.36015;0.23496;LARANJA;1319;;1
